iter	Logloss
0	0.5944746942
1	0.5175776561
2	0.459173934
3	0.4123355504
4	0.3796644495
5	0.3551467947
6	0.3341208741
7	0.3178211715
8	0.3052519934
9	0.2948113522
10	0.2860999724
11	0.2798720524
12	0.2749223472
13	0.2708735634
14	0.2676791168
15	0.2649346627
16	0.2625504528
17	0.2607139045
18	0.2593764554
19	0.2583319393
20	0.2571096151
21	0.2561972978
22	0.2552531092
23	0.2544257533
24	0.2537039609
25	0.2531229249
26	0.252656596
27	0.2522442613
28	0.2518064728
29	0.2514298542
30	0.2510844332
31	0.2507582958
32	0.2503851083
33	0.2500805475
34	0.2498144966
35	0.2495431913
36	0.2492787902
37	0.2490831318
38	0.2489473158
39	0.2487873239
40	0.2486519649
41	0.2484630555
42	0.2483399785
43	0.2481561716
44	0.2479711488
45	0.2478128369
46	0.2476854533
47	0.2475497376
48	0.2473825868
49	0.2472828913
50	0.2471679194
51	0.2470615264
52	0.246917818
53	0.2468232613
54	0.2466737212
55	0.2465713994
56	0.2464872377
57	0.2463525073
58	0.2462622642
59	0.2461892929
60	0.2461037145
61	0.2460127912
62	0.2458540301
63	0.2457720891
64	0.2456941269
65	0.2456097687
66	0.2455401518
67	0.245467534
68	0.2453873384
69	0.245330457
70	0.2452749433
71	0.2452250936
72	0.2451651449
73	0.2450806842
74	0.2449980207
75	0.2449275841
76	0.2448563921
77	0.2448096063
78	0.2447474422
79	0.2447160425
80	0.2446278438
81	0.2445427155
82	0.2444906235
83	0.244425844
84	0.2443910731
85	0.2442791383
86	0.2442227555
87	0.2441522191
88	0.2440953364
89	0.2440236935
90	0.2439666085
91	0.2439305474
92	0.2438857704
93	0.2438446835
94	0.2437870106
95	0.2437264062
96	0.2436596179
97	0.2435912256
98	0.2435434548
99	0.2434377788
