iter	Passed	Remaining
0	39	3903
1	73	3613
2	105	3424
3	139	3338
4	172	3269
5	200	3147
6	231	3078
7	274	3153
8	315	3185
9	357	3214
10	398	3222
11	432	3173
12	471	3153
13	507	3117
14	541	3069
15	574	3015
16	605	2957
17	636	2901
18	668	2852
19	702	2811
20	740	2784
21	772	2739
22	807	2703
23	841	2663
24	875	2626
25	907	2583
26	941	2545
27	985	2534
28	1016	2487
29	1050	2450
30	1092	2431
31	1127	2396
32	1164	2365
33	1201	2332
34	1231	2287
35	1268	2255
36	1301	2215
37	1336	2180
38	1363	2132
39	1393	2090
40	1431	2059
41	1463	2021
42	1490	1976
43	1521	1936
44	1549	1893
45	1581	1856
46	1618	1825
47	1657	1795
48	1687	1755
49	1717	1717
50	1750	1682
51	1778	1641
52	1809	1604
53	1854	1579
54	1885	1542
55	1922	1510
56	1952	1472
57	1992	1443
58	2019	1403
59	2047	1364
60	2085	1333
61	2118	1298
62	2155	1265
63	2185	1229
64	2216	1193
65	2255	1162
66	2286	1125
67	2319	1091
68	2352	1056
69	2381	1020
70	2409	984
71	2433	946
72	2469	913
73	2504	879
74	2538	846
75	2570	811
76	2600	776
77	2625	740
78	2659	707
79	2690	672
80	2721	638
81	2765	607
82	2796	572
83	2829	538
84	2855	503
85	2892	470
86	2919	436
87	2962	403
88	2995	370
89	3027	336
90	3053	302
91	3085	268
92	3115	234
93	3141	200
94	3175	167
95	3211	133
96	3243	100
97	3272	66
98	3301	33
99	3334	0
